Episode  92500/1000000 | Mean reward (last 500): +28.48 | Win rate: 55.3% | Win rate (last 500): 55.0% | 
Episode  93000/1000000 | Mean reward (last 500): +30.44 | Win rate: 55.3% | Win rate (last 500): 55.0% | 
Episode  93500/1000000 | Mean reward (last 500): +29.10 | Win rate: 55.3% | Win rate (last 500): 55.0% | 
Episode  94000/1000000 | Mean reward (last 500): +42.76 | Win rate: 55.3% | Win rate (last 500): 58.2% | 
Episode  94500/1000000 | Mean reward (last 500): +40.33 | Win rate: 55.3% | Win rate (last 500): 57.2% | 
Episode  95000/1000000 | Mean reward (last 500): +33.39 | Win rate: 55.3% | Win rate (last 500): 55.4% | 
Episode  95500/1000000 | Mean reward (last 500): +34.46 | Win rate: 55.3% | Win rate (last 500): 56.8% | 
Episode  96000/1000000 | Mean reward (last 500): +40.37 | Win rate: 55.3% | Win rate (last 500): 57.0% | 
Episode  96500/1000000 | Mean reward (last 500): +43.42 | Win rate: 55.4% | Win rate (last 500): 58.4% | 
Episode  97000/1000000 | Mean reward (last 500): +42.55 | Win rate: 55.4% | Win rate (last 500): 57.2% | 
Episode  97500/1000000 | Mean reward (last 500): +55.29 | Win rate: 55.4% | Win rate (last 500): 60.2% | 
Episode  98000/1000000 | Mean reward (last 500): +63.38 | Win rate: 55.4% | Win rate (last 500): 62.4% | 
Episode  98500/1000000 | Mean reward (last 500): +25.36 | Win rate: 55.4% | Win rate (last 500): 53.4% | 
Episode  99000/1000000 | Mean reward (last 500): +50.77 | Win rate: 55.4% | Win rate (last 500): 58.6% | 
Episode  99500/1000000 | Mean reward (last 500): +48.08 | Win rate: 55.4% | Win rate (last 500): 58.4% | 
Episode 100000/1000000 | Mean reward (last 500): +34.65 | Win rate: 55.4% | Win rate (last 500): 55.8% | 
Episode 100500/1000000 | Mean reward (last 500): +55.58 | Win rate: 55.5% | Win rate (last 500): 60.0% | 
Episode 101000/1000000 | Mean reward (last 500): +51.78 | Win rate: 55.5% | Win rate (last 500): 59.4% | 
Episode 101500/1000000 | Mean reward (last 500): +37.68 | Win rate: 55.5% | Win rate (last 500): 56.2% | 
Episode 102000/1000000 | Mean reward (last 500): +32.86 | Win rate: 55.5% | Win rate (last 500): 55.8% | 
